所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型
权限管理,验证添加权限中可以进行编辑的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.选中要进行编辑的权限信息
3.点击编辑",编辑成功，并有相应提示,,1,功能
权限管理,验证添加权限中可以进行删除的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.选中要进行编辑的权限信息
3.点击删除",删除成功，并有相应提示,,1,功能
权限管理,验证不填关键字可以搜索全部信息的正确性,"1.打开项目
2.登录成功
","1. 点击权限管理
2. 点击搜索
",显示所有的权限信息,,,功能
权限管理,验证输入不存在的关键字不能搜索到信息的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.关键字：pp
3.点击搜索",搜索结果为空,,,功能
权限管理,验证输入存在的关键字能搜索到信息的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.关键字：合同管理
3.点击搜索",搜索结果为合同管理的信息,,,功能
权限管理,验证输入不合法的关键字不能搜索到信息的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.关键字：（空格）
3.点击搜索",搜索结果为空,,,功能
权限管理,验证点击加载资源可以刷新页面信息的正确性,"1.打开项目
2.登录成功
","1. 点击权限管理
2. 点击加载资源
",页面加载成功,,,功能
权限管理,验证输入关键字可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击权限管理
2. 点击高级搜索
3.输入关键字：合同
4.点击查询
",搜索成功,,,
权限管理,验证选择停用状态可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击权限管理
2. 点击高级搜索
3.选择状态：停用
4.点击查询
",搜索成功,,,
权限管理,验证选择正常状态可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击权限管理
2. 点击高级搜索
3.选择状态：正常
4.点击查询",搜索成功,,,
权限管理,验证选择菜单名称可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击权限管理
2. 点击高级搜索
3.选择菜单名称
4.点击查询",搜索成功,,,
部门管理,验证通过输入关键字可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2. 点击高级搜索
3.关键字：销售
4.点击查询",搜索成功,,,
部门管理,验证通过选择状态为全部可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2. 点击高级搜索
3.状态：全部
4.点击查询",搜索成功,,,
部门管理,验证通过选择状态为停用可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2. 点击高级搜索
3.状态：停用
4.点击查询",搜索成功,,,
部门管理,验证通过选择状态为正常可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2. 点击高级搜索
3.状态：正常
4.点击查询",搜索成功,,,
部门管理,验证通过选择上级部门可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2. 点击高级搜索
3.状态：正常
4.选择上级部门
5.点击查询",搜索成功,,,
部门管理,验证通过选择部门经理可以高级搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2. 点击高级搜索
3.状态：正常
4.选择部门经理
5.点击查询",搜索成功,,,
部门管理,验证通过选择显示条数可以在页面正常显示相应信息数量,"1.打开项目
2.登录成功
","1. 点击部门管理
2.左下角选择20",显示成功,,,
部门管理,验证通过选择状态为停用可以搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2.选择状态：停用
3.点击搜索",搜索成功,,,
部门管理,验证通过选择状态为全部可以搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2.选择状态：全部
3.点击搜索",搜索成功,,,
部门管理,验证通过选择状态为正常可以搜索成功的正确性,"1.打开项目
2.登录成功
","1. 点击部门管理
2.选择状态：正常
3.点击搜索",搜索成功,,,
保修管理,验证添加页面中保修时间不可以为中文的正确性,"1.打开项目
2.登录成功
","1. 点击保修管理
2. 点击添加
3.保修时间：发对手方
4.填写保修明细
5.点击保存",保存失败,,,
保修管理,验证添加页面中保修时间不可以为英文的正确性,"1.打开项目
2.登录成功
","1. 点击保修管理
2. 点击添加
3.保修时间：hahah
4.填写保修明细
5.点击保存",保存失败,,,
保修管理,验证添加页面中保修时间不可以为特殊字符的正确性,"1.打开项目
2.登录成功
","1. 点击保修管理
2. 点击添加
3.保修时间：***
4.填写保修明细
5.点击保存",保存失败,,,
保修管理,验证添加页面中保修时间不可以为空的正确性,"1.打开项目
2.登录成功
","1. 点击保修管理
2. 点击添加
3.保修时间：
4.填写保修明细
5.点击保存",保存失败,,,
保修管理,验证编辑页面中修改状态成功的正确性,"1.打开项目
2.登录成功
","1. 点击保修管理
2. 点击编辑
3.更换状态为停用
4.点击保存",修改成功，重新点击编辑查看状态成功改变为停用,,,
保修管理,验证通过选择显示条数可以在页面正常显示相应信息数量,"1.打开项目
2.登录成功
","1. 点击保修管理
2.左下角选择20",显示成功,,,
保修管理,验证点击上下翻页按钮能成功翻页的正确性,"1.打开项目
2.登录成功
","1. 点击保修管理
2.点击向上翻页按钮
3.点击向下翻页按钮",成功上下翻页,,,
